COUNTRY,FOCUS_GROUP,PRODUCT_GENDER_CLUSTER,MAIN_CATEGORY_CLUSTER,GMV_BEFORE_RETURN
IE,Peer,KIDS,FTW,37277
FR,Peer,MEN AND UNISEX,ACC,645515
LT,Peer,WOMEN,FTW,43090
NO,Peer,WOMEN,FTW,1070674
BE,Peer,WOMEN,ACC,12448
ES,,KIDS,APP,2610
FI,Brand,KIDS,FTW,13106
LV,Brand,KIDS,FTW,402
GB,Peer,MEN AND UNISEX,FTW,1336481
IE,,KIDS,FTW,288
NL,Peer,WOMEN,FTW,4714636
DE,Brand,KIDS,FTW,519938
SI,Brand,MEN AND UNISEX,ACC,1696
HU,Brand,MEN AND UNISEX,FTW,37787
DE,Brand,WOMEN,FTW,1865735
GB,Peer,WOMEN,ACC,482
CH,Brand,WOMEN,APP,694866
IT,Peer,WOMEN,ACC,50926
CZ,Peer,WOMEN,FTW,617826
LT,,WOMEN,APP,194
ES,,MEN AND UNISEX,APP,27446
BE,Brand,WOMEN,FTW,542202
SK,Peer,MEN AND UNISEX,APP,310638
NL,Brand,WOMEN,APP,436753
NO,Brand,MEN AND UNISEX,FTW,479101
CZ,Peer,KIDS,APP,234554
SI,,WOMEN,APP,134
NL,,KIDS,APP,3082
CZ,,WOMEN,APP,1129
NL,,WOMEN,ACC,1964
HR,Brand,WOMEN,FTW,28444
CH,Peer,,APP,55
FI,Peer,WOMEN,FTW,630578
RO,Brand,KIDS,FTW,11104
CZ,Brand,WOMEN,APP,45076
SE,,MEN AND UNISEX,APP,12095
SE,Peer,KIDS,APP,317236
FR,Peer,WOMEN,APP,2515590
LV,Peer,MEN AND UNISEX,APP,56294
LT,Brand,MEN AND UNISEX,FTW,42478
SK,Brand,MEN AND UNISEX,APP,22078
NL,Peer,KIDS,FTW,1887367
NO,,MEN AND UNISEX,APP,15936
SE,Peer,WOMEN,ACC,6212
IE,Brand,MEN AND UNISEX,APP,13434
HR,Peer,WOMEN,APP,91414
FI,,WOMEN,APP,11733
NO,,KIDS,APP,1621
PL,Brand,WOMEN,FTW,163652
AT,,MEN AND UNISEX,APP,20718
BE,Brand,MEN AND UNISEX,ACC,36753
SE,,WOMEN,APP,6015
HR,,MEN AND UNISEX,ACC,534
IT,Brand,MEN AND UNISEX,FTW,2228024
AT,Brand,WOMEN,FTW,93705
RO,Peer,WOMEN,FTW,140691
PL,Brand,WOMEN,APP,280481
AT,,MEN AND UNISEX,FTW,7771
ES,Peer,,,8
FR,Brand,WOMEN,ACC,1006
CH,,KIDS,ACC,28
FI,,WOMEN,FTW,1884
NO,,KIDS,FTW,1250
GB,Brand,MEN AND UNISEX,ACC,4616
RO,Brand,WOMEN,FTW,7050
IT,Brand,MEN AND UNISEX,APP,567959
HR,Brand,KIDS,APP,9817
DE,Peer,MEN AND UNISEX,APP,20416829
RO,Peer,KIDS,FTW,275054
IE,,MEN AND UNISEX,FTW,146
DK,,WOMEN,ACC,527
SE,,MEN AND UNISEX,FTW,2223
CZ,Brand,WOMEN,FTW,24081
ES,Peer,WOMEN,FTW,4707973
SE,Peer,KIDS,FTW,435729
FR,,WOMEN,APP,21137
NO,,MEN AND UNISEX,FTW,2222
HU,Peer,WOMEN,ACC,337
SK,Brand,MEN AND UNISEX,FTW,60302
NL,Peer,KIDS,APP,495217
NL,Brand,WOMEN,FTW,300534
SK,Peer,MEN AND UNISEX,FTW,423626
NO,Brand,MEN AND UNISEX,APP,189049
LV,Peer,KIDS,ACC,1007
CH,,MEN AND UNISEX,ACC,7243
ES,Brand,MEN AND UNISEX,ACC,30098
IT,Brand,KIDS,ACC,1161
FI,Brand,MEN AND UNISEX,ACC,24408
GB,Brand,KIDS,ACC,136
SI,,MEN AND UNISEX,APP,269
HR,Brand,WOMEN,APP,23398
FI,Peer,WOMEN,APP,519494
CH,Brand,MEN AND UNISEX,ACC,72420
EE,Brand,WOMEN,APP,2060
SI,Peer,KIDS,ACC,1169
LT,Peer,MEN AND UNISEX,FTW,166951
FR,,MEN AND UNISEX,APP,39613
HU,,MEN AND UNISEX,ACC,439
LV,Brand,MEN AND UNISEX,ACC,1433
DE,Brand,WOMEN,APP,2299784
GB,,WOMEN,ACC,402
CZ,Peer,WOMEN,APP,527480
SK,Peer,WOMEN,ACC,1255
IT,,WOMEN,FTW,8093
CH,Peer,WOMEN,ACC,27164
AT,Peer,WOMEN,FTW,1609130
LT,Peer,KIDS,ACC,1196
PL,Brand,KIDS,APP,101921
ES,,KIDS,FTW,19824
PL,Peer,KIDS,ACC,43819
IE,Peer,WOMEN,FTW,118018
PL,,KIDS,APP,1718
SE,,KIDS,FTW,983
IT,,WOMEN,APP,24060
NL,Peer,WOMEN,APP,1600786
NO,Peer,KIDS,ACC,15783
FR,Brand,MEN AND UNISEX,ACC,62325
IE,,KIDS,APP,149
NO,Brand,KIDS,FTW,38663
BE,Brand,KIDS,ACC,346
NO,Brand,WOMEN,FTW,81059
SK,Peer,KIDS,ACC,4165
IT,,MEN AND UNISEX,FTW,37338
DE,Peer,WOMEN,APP,14433514
LV,Peer,WOMEN,FTW,22963
DK,Brand,WOMEN,FTW,157737
DK,Peer,MEN AND UNISEX,APP,1715500
LT,Peer,WOMEN,APP,91563
DK,Brand,MEN AND UNISEX,APP,158779
FI,Peer,MEN AND UNISEX,ACC,141268
IE,Peer,KIDS,APP,15659
ES,Peer,WOMEN,APP,1383981
DE,,MEN AND UNISEX,ACC,16804
ES,Peer,KIDS,APP,852628
IE,,MEN AND UNISEX,APP,995
GB,,MEN AND UNISEX,ACC,424
CH,,WOMEN,APP,51164
SE,Peer,MEN AND UNISEX,FTW,2107061
NO,,WOMEN,ACC,1017
PL,,MEN AND UNISEX,ACC,4198
DE,,KIDS,APP,15884
RO,,MEN AND UNISEX,ACC,504
DK,,MEN AND UNISEX,APP,11693
ES,Peer,MEN AND UNISEX,FTW,7902976
DK,Peer,WOMEN,FTW,1284664
SK,,MEN AND UNISEX,ACC,187
FR,,KIDS,FTW,11630
AT,Brand,WOMEN,APP,183752
RO,Brand,WOMEN,APP,27833
EE,Peer,KIDS,APP,10354
EE,Peer,WOMEN,APP,29979
BE,,MEN AND UNISEX,APP,26936
LV,,WOMEN,APP,151
FI,Brand,WOMEN,APP,135148
FR,Brand,KIDS,FTW,592796
IE,Brand,MEN AND UNISEX,FTW,45371
EE,Peer,MEN AND UNISEX,APP,44107
HR,Peer,WOMEN,FTW,266753
BE,,MEN AND UNISEX,FTW,17881
HU,Peer,MEN AND UNISEX,ACC,36115
EE,Peer,WOMEN,FTW,28359
EE,Peer,KIDS,FTW,9386
IT,Peer,MEN AND UNISEX,ACC,904422
PL,Brand,MEN AND UNISEX,FTW,1040090
PL,Peer,MEN AND UNISEX,APP,4004634
